Number,Name,Type,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,image
0053,Persian,['Normal'],440,65,70,60,65,65,115,https://img.pokemondb.net/artwork/large/persian.jpg
0053,Persian,['Dark'],440,65,60,60,75,65,115,https://img.pokemondb.net/artwork/large/persian-alolan.jpg
0054,Psyduck,['Water'],320,50,52,48,65,50,55,https://img.pokemondb.net/artwork/large/psyduck.jpg
0055,Golduck,['Water'],500,80,82,78,95,80,85,https://img.pokemondb.net/artwork/large/golduck.jpg
0056,Mankey,['Fighting'],305,40,80,35,35,45,70,https://img.pokemondb.net/artwork/large/mankey.jpg
0057,Primeape,['Fighting'],455,65,105,60,60,70,95,https://img.pokemondb.net/artwork/large/primeape.jpg
0058,Growlithe,['Fire'],350,55,70,45,70,50,60,https://img.pokemondb.net/artwork/large/growlithe.jpg
0058,Growlithe,"['Fire', 'Rock']",350,60,75,45,65,50,55,https://img.pokemondb.net/artwork/large/growlithe-hisuian.jpg
0059,Arcanine,['Fire'],555,90,110,80,100,80,95,https://img.pokemondb.net/artwork/large/arcanine.jpg
0059,Arcanine,"['Fire', 'Rock']",555,95,115,80,95,80,90,https://img.pokemondb.net/artwork/large/arcanine-hisuian.jpg
0060,Poliwag,['Water'],300,40,50,40,40,40,90,https://img.pokemondb.net/artwork/large/poliwag.jpg
0061,Poliwhirl,['Water'],385,65,65,65,50,50,90,https://img.pokemondb.net/artwork/large/poliwhirl.jpg
0062,Poliwrath,"['Water', 'Fighting']",510,90,95,95,70,90,70,https://img.pokemondb.net/artwork/large/poliwrath.jpg
0063,Abra,['Psychic'],310,25,20,15,105,55,90,https://img.pokemondb.net/artwork/large/abra.jpg
0064,Kadabra,['Psychic'],400,40,35,30,120,70,105,https://img.pokemondb.net/artwork/large/kadabra.jpg
0065,Alakazam,['Psychic'],500,55,50,45,135,95,120,https://img.pokemondb.net/artwork/large/alakazam.jpg
0065,Alakazam,['Psychic'],600,55,50,65,175,105,150,https://img.pokemondb.net/artwork/large/alakazam-mega.jpg
0066,Machop,['Fighting'],305,70,80,50,35,35,35,https://img.pokemondb.net/artwork/large/machop.jpg
0067,Machoke,['Fighting'],405,80,100,70,50,60,45,https://img.pokemondb.net/artwork/large/machoke.jpg
0068,Machamp,['Fighting'],505,90,130,80,65,85,55,https://img.pokemondb.net/artwork/large/machamp.jpg
0069,Bellsprout,"['Grass', 'Poison']",300,50,75,35,70,30,40,https://img.pokemondb.net/artwork/large/bellsprout.jpg
0070,Weepinbell,"['Grass', 'Poison']",390,65,90,50,85,45,55,https://img.pokemondb.net/artwork/large/weepinbell.jpg
0071,Victreebel,"['Grass', 'Poison']",490,80,105,65,100,70,70,https://img.pokemondb.net/artwork/large/victreebel.jpg
0072,Tentacool,"['Water', 'Poison']",335,40,40,35,50,100,70,https://img.pokemondb.net/artwork/large/tentacool.jpg
0073,Tentacruel,"['Water', 'Poison']",515,80,70,65,80,120,100,https://img.pokemondb.net/artwork/large/tentacruel.jpg
0074,Geodude,"['Rock', 'Ground']",300,40,80,100,30,30,20,https://img.pokemondb.net/artwork/large/geodude.jpg
0074,Geodude,"['Rock', 'Electric']",300,40,80,100,30,30,20,https://img.pokemondb.net/artwork/large/geodude-alolan.jpg
0075,Graveler,"['Rock', 'Ground']",390,55,95,115,45,45,35,https://img.pokemondb.net/artwork/large/graveler.jpg
0075,Graveler,"['Rock', 'Electric']",390,55,95,115,45,45,35,https://img.pokemondb.net/artwork/large/graveler-alolan.jpg
0076,Golem,"['Rock', 'Ground']",495,80,120,130,55,65,45,https://img.pokemondb.net/artwork/large/golem.jpg
0076,Golem,"['Rock', 'Electric']",495,80,120,130,55,65,45,https://img.pokemondb.net/artwork/large/golem-alolan.jpg
0077,Ponyta,['Fire'],410,50,85,55,65,65,90,https://img.pokemondb.net/artwork/large/ponyta.jpg
0077,Ponyta,['Psychic'],410,50,85,55,65,65,90,https://img.pokemondb.net/artwork/large/ponyta-galarian.jpg
0078,Rapidash,['Fire'],500,65,100,70,80,80,105,https://img.pokemondb.net/artwork/large/rapidash.jpg
0078,Rapidash,"['Psychic', 'Fairy']",500,65,100,70,80,80,105,https://img.pokemondb.net/artwork/large/rapidash-galarian.jpg
0079,Slowpoke,"['Water', 'Psychic']",315,90,65,65,40,40,15,https://img.pokemondb.net/artwork/large/slowpoke.jpg
0079,Slowpoke,['Psychic'],315,90,65,65,40,40,15,https://img.pokemondb.net/artwork/large/slowpoke-galarian.jpg
0080,Slowbro,"['Water', 'Psychic']",490,95,75,110,100,80,30,https://img.pokemondb.net/artwork/large/slowbro.jpg
0080,Slowbro,"['Water', 'Psychic']",590,95,75,180,130,80,30,https://img.pokemondb.net/artwork/large/slowbro-mega.jpg
0080,Slowbro,"['Poison', 'Psychic']",490,95,100,95,100,70,30,https://img.pokemondb.net/artwork/large/slowbro-galarian.jpg
0081,Magnemite,"['Electric', 'Steel']",325,25,35,70,95,55,45,https://img.pokemondb.net/artwork/large/magnemite.jpg
0082,Magneton,"['Electric', 'Steel']",465,50,60,95,120,70,70,https://img.pokemondb.net/artwork/large/magneton.jpg
0083,Farfetch'd,"['Normal', 'Flying']",377,52,90,55,58,62,60,https://img.pokemondb.net/artwork/large/farfetchd.jpg
0083,Farfetch'd,['Fighting'],377,52,95,55,58,62,55,https://img.pokemondb.net/artwork/large/farfetchd-galarian.jpg
0084,Doduo,"['Normal', 'Flying']",310,35,85,45,35,35,75,https://img.pokemondb.net/artwork/large/doduo.jpg
0085,Dodrio,"['Normal', 'Flying']",470,60,110,70,60,60,110,https://img.pokemondb.net/artwork/large/dodrio.jpg
0086,Seel,['Water'],325,65,45,55,45,70,45,https://img.pokemondb.net/artwork/large/seel.jpg
0087,Dewgong,"['Water', 'Ice']",475,90,70,80,70,95,70,https://img.pokemondb.net/artwork/large/dewgong.jpg
0088,Grimer,['Poison'],325,80,80,50,40,50,25,https://img.pokemondb.net/artwork/large/grimer.jpg
0088,Grimer,"['Poison', 'Dark']",325,80,80,50,40,50,25,https://img.pokemondb.net/artwork/large/grimer-alolan.jpg
0089,Muk,['Poison'],500,105,105,75,65,100,50,https://img.pokemondb.net/artwork/large/muk.jpg
0089,Muk,"['Poison', 'Dark']",500,105,105,75,65,100,50,https://img.pokemondb.net/artwork/large/muk-alolan.jpg
0090,Shellder,['Water'],305,30,65,100,45,25,40,https://img.pokemondb.net/artwork/large/shellder.jpg
0091,Cloyster,"['Water', 'Ice']",525,50,95,180,85,45,70,https://img.pokemondb.net/artwork/large/cloyster.jpg
0092,Gastly,"['Ghost', 'Poison']",310,30,35,30,100,35,80,https://img.pokemondb.net/artwork/large/gastly.jpg
0093,Haunter,"['Ghost', 'Poison']",405,45,50,45,115,55,95,https://img.pokemondb.net/artwork/large/haunter.jpg
0094,Gengar,"['Ghost', 'Poison']",500,60,65,60,130,75,110,https://img.pokemondb.net/artwork/large/gengar.jpg
0094,Gengar,"['Ghost', 'Poison']",600,60,65,80,170,95,130,https://img.pokemondb.net/artwork/large/gengar-mega.jpg
0095,Onix,"['Rock', 'Ground']",385,35,45,160,30,45,70,https://img.pokemondb.net/artwork/large/onix.jpg
0096,Drowzee,['Psychic'],328,60,48,45,43,90,42,https://img.pokemondb.net/artwork/large/drowzee.jpg
0097,Hypno,['Psychic'],483,85,73,70,73,115,67,https://img.pokemondb.net/artwork/large/hypno.jpg
0098,Krabby,['Water'],325,30,105,90,25,25,50,https://img.pokemondb.net/artwork/large/krabby.jpg
0099,Kingler,['Water'],475,55,130,115,50,50,75,https://img.pokemondb.net/artwork/large/kingler.jpg
0100,Voltorb,['Electric'],330,40,30,50,55,55,100,https://img.pokemondb.net/artwork/large/voltorb.jpg
0100,Voltorb,"['Electric', 'Grass']",330,40,30,50,55,55,100,https://img.pokemondb.net/artwork/large/voltorb-hisuian.jpg
0101,Electrode,['Electric'],490,60,50,70,80,80,150,https://img.pokemondb.net/artwork/large/electrode.jpg
0101,Electrode,"['Electric', 'Grass']",490,60,50,70,80,80,150,https://img.pokemondb.net/artwork/large/electrode-hisuian.jpg
0102,Exeggcute,"['Grass', 'Psychic']",325,60,40,80,60,45,40,https://img.pokemondb.net/artwork/large/exeggcute.jpg
0103,Exeggutor,"['Grass', 'Psychic']",530,95,95,85,125,75,55,https://img.pokemondb.net/artwork/large/exeggutor.jpg
0103,Exeggutor,"['Grass', 'Dragon']",530,95,105,85,125,75,45,https://img.pokemondb.net/artwork/large/exeggutor-alolan.jpg
0104,Cubone,['Ground'],320,50,50,95,40,50,35,https://img.pokemondb.net/artwork/large/cubone.jpg
0105,Marowak,['Ground'],425,60,80,110,50,80,45,https://img.pokemondb.net/artwork/large/marowak.jpg
0105,Marowak,"['Fire', 'Ghost']",425,60,80,110,50,80,45,https://img.pokemondb.net/artwork/large/marowak-alolan.jpg
0106,Hitmonlee,['Fighting'],455,50,120,53,35,110,87,https://img.pokemondb.net/artwork/large/hitmonlee.jpg
0107,Hitmonchan,['Fighting'],455,50,105,79,35,110,76,https://img.pokemondb.net/artwork/large/hitmonchan.jpg
0108,Lickitung,['Normal'],385,90,55,75,60,75,30,https://img.pokemondb.net/artwork/large/lickitung.jpg
0109,Koffing,['Poison'],340,40,65,95,60,45,35,https://img.pokemondb.net/artwork/large/koffing.jpg
0110,Weezing,['Poison'],490,65,90,120,85,70,60,https://img.pokemondb.net/artwork/large/weezing.jpg
0110,Weezing,"['Poison', 'Fairy']",490,65,90,120,85,70,60,https://img.pokemondb.net/artwork/large/weezing-galarian.jpg
0111,Rhyhorn,"['Ground', 'Rock']",345,80,85,95,30,30,25,https://img.pokemondb.net/artwork/large/rhyhorn.jpg
0112,Rhydon,"['Ground', 'Rock']",485,105,130,120,45,45,40,https://img.pokemondb.net/artwork/large/rhydon.jpg
0113,Chansey,['Normal'],450,250,5,5,35,105,50,https://img.pokemondb.net/artwork/large/chansey.jpg
0114,Tangela,['Grass'],435,65,55,115,100,40,60,https://img.pokemondb.net/artwork/large/tangela.jpg
0115,Kangaskhan,['Normal'],490,105,95,80,40,80,90,https://img.pokemondb.net/artwork/large/kangaskhan.jpg
0115,Kangaskhan,['Normal'],590,105,125,100,60,100,100,https://img.pokemondb.net/artwork/large/kangaskhan-mega.jpg
0116,Horsea,['Water'],295,30,40,70,70,25,60,https://img.pokemondb.net/artwork/large/horsea.jpg
0117,Seadra,['Water'],440,55,65,95,95,45,85,https://img.pokemondb.net/artwork/large/seadra.jpg
0118,Goldeen,['Water'],320,45,67,60,35,50,63,https://img.pokemondb.net/artwork/large/goldeen.jpg
0119,Seaking,['Water'],450,80,92,65,65,80,68,https://img.pokemondb.net/artwork/large/seaking.jpg
0120,Staryu,['Water'],340,30,45,55,70,55,85,https://img.pokemondb.net/artwork/large/staryu.jpg
0121,Starmie,"['Water', 'Psychic']",520,60,75,85,100,85,115,https://img.pokemondb.net/artwork/large/starmie.jpg
0122,Mr. Mime,"['Psychic', 'Fairy']",460,40,45,65,100,120,90,https://img.pokemondb.net/artwork/large/mr-mime.jpg
0122,Mr. Mime,"['Ice', 'Psychic']",460,50,65,65,90,90,100,https://img.pokemondb.net/artwork/large/mr-mime-galarian.jpg
0123,Scyther,"['Bug', 'Flying']",500,70,110,80,55,80,105,https://img.pokemondb.net/artwork/large/scyther.jpg
0124,Jynx,"['Ice', 'Psychic']",455,65,50,35,115,95,95,https://img.pokemondb.net/artwork/large/jynx.jpg
0125,Electabuzz,['Electric'],490,65,83,57,95,85,105,https://img.pokemondb.net/artwork/large/electabuzz.jpg
0126,Magmar,['Fire'],495,65,95,57,100,85,93,https://img.pokemondb.net/artwork/large/magmar.jpg
0127,Pinsir,['Bug'],500,65,125,100,55,70,85,https://img.pokemondb.net/artwork/large/pinsir.jpg
0127,Pinsir,"['Bug', 'Flying']",600,65,155,120,65,90,105,https://img.pokemondb.net/artwork/large/pinsir-mega.jpg
0128,Tauros,['Normal'],490,75,100,95,40,70,110,https://img.pokemondb.net/artwork/large/tauros.jpg
0128,Tauros,['Fighting'],490,75,110,105,30,70,100,https://img.pokemondb.net/artwork/large/tauros-paldean-combat.jpg
0128,Tauros,"['Fighting', 'Fire']",490,75,110,105,30,70,100,https://img.pokemondb.net/artwork/large/tauros-paldean-blaze.jpg
0128,Tauros,"['Fighting', 'Water']",490,75,110,105,30,70,100,https://img.pokemondb.net/artwork/large/tauros-paldean-aqua.jpg
0129,Magikarp,['Water'],200,20,10,55,15,20,80,https://img.pokemondb.net/artwork/large/magikarp.jpg
0130,Gyarados,"['Water', 'Flying']",540,95,125,79,60,100,81,https://img.pokemondb.net/artwork/large/gyarados.jpg
0130,Gyarados,"['Water', 'Dark']",640,95,155,109,70,130,81,https://img.pokemondb.net/artwork/large/gyarados-mega.jpg
0131,Lapras,"['Water', 'Ice']",535,130,85,80,85,95,60,https://img.pokemondb.net/artwork/large/lapras.jpg
0132,Ditto,['Normal'],288,48,48,48,48,48,48,https://img.pokemondb.net/artwork/large/ditto.jpg
0133,Eevee,['Normal'],325,55,55,50,45,65,55,https://img.pokemondb.net/artwork/large/eevee.jpg
0133,Eevee,['Normal'],435,65,75,70,65,85,75,https://img.pokemondb.net/artwork/large/eevee-lets-go.jpg
0134,Vaporeon,['Water'],525,130,65,60,110,95,65,https://img.pokemondb.net/artwork/large/vaporeon.jpg
0135,Jolteon,['Electric'],525,65,65,60,110,95,130,https://img.pokemondb.net/artwork/large/jolteon.jpg
0136,Flareon,['Fire'],525,65,130,60,95,110,65,https://img.pokemondb.net/artwork/large/flareon.jpg
0137,Porygon,['Normal'],395,65,60,70,85,75,40,https://img.pokemondb.net/artwork/large/porygon.jpg
0138,Omanyte,"['Rock', 'Water']",355,35,40,100,90,55,35,https://img.pokemondb.net/artwork/large/omanyte.jpg
0139,Omastar,"['Rock', 'Water']",495,70,60,125,115,70,55,https://img.pokemondb.net/artwork/large/omastar.jpg
0140,Kabuto,"['Rock', 'Water']",355,30,80,90,55,45,55,https://img.pokemondb.net/artwork/large/kabuto.jpg
0141,Kabutops,"['Rock', 'Water']",495,60,115,105,65,70,80,https://img.pokemondb.net/artwork/large/kabutops.jpg
0142,Aerodactyl,"['Rock', 'Flying']",515,80,105,65,60,75,130,https://img.pokemondb.net/artwork/large/aerodactyl.jpg
0142,Aerodactyl,"['Rock', 'Flying']",615,80,135,85,70,95,150,https://img.pokemondb.net/artwork/large/aerodactyl-mega.jpg
0143,Snorlax,['Normal'],540,160,110,65,65,110,30,https://img.pokemondb.net/artwork/large/snorlax.jpg
0144,Articuno,"['Ice', 'Flying']",580,90,85,100,95,125,85,https://img.pokemondb.net/artwork/large/articuno.jpg
0144,Articuno,"['Psychic', 'Flying']",580,90,85,85,125,100,95,https://img.pokemondb.net/artwork/large/articuno-galarian.jpg
0145,Zapdos,"['Electric', 'Flying']",580,90,90,85,125,90,100,https://img.pokemondb.net/artwork/large/zapdos.jpg
0145,Zapdos,"['Fighting', 'Flying']",580,90,125,90,85,90,100,https://img.pokemondb.net/artwork/large/zapdos-galarian.jpg
0146,Moltres,"['Fire', 'Flying']",580,90,100,90,125,85,90,https://img.pokemondb.net/artwork/large/moltres.jpg
0146,Moltres,"['Dark', 'Flying']",580,90,85,90,100,125,90,https://img.pokemondb.net/artwork/large/moltres-galarian.jpg
0147,Dratini,['Dragon'],300,41,64,45,50,50,50,https://img.pokemondb.net/artwork/large/dratini.jpg
0148,Dragonair,['Dragon'],420,61,84,65,70,70,70,https://img.pokemondb.net/artwork/large/dragonair.jpg
0149,Dragonite,"['Dragon', 'Flying']",600,91,134,95,100,100,80,https://img.pokemondb.net/artwork/large/dragonite.jpg
0150,Mewtwo,['Psychic'],680,106,110,90,154,90,130,https://img.pokemondb.net/artwork/large/mewtwo.jpg
0150,Mewtwo,"['Psychic', 'Fighting']",780,106,190,100,154,100,130,https://img.pokemondb.net/artwork/large/mewtwo-mega-x.jpg
0150,Mewtwo,['Psychic'],780,106,150,70,194,120,140,https://img.pokemondb.net/artwork/large/mewtwo-mega-y.jpg
0151,Mew,['Psychic'],600,100,100,100,100,100,100,https://img.pokemondb.net/artwork/large/mew.jpg
0152,Chikorita,['Grass'],318,45,49,65,49,65,45,https://img.pokemondb.net/artwork/large/chikorita.jpg
0153,Bayleef,['Grass'],405,60,62,80,63,80,60,https://img.pokemondb.net/artwork/large/bayleef.jpg
0154,Meganium,['Grass'],525,80,82,100,83,100,80,https://img.pokemondb.net/artwork/large/meganium.jpg
0155,Cyndaquil,['Fire'],309,39,52,43,60,50,65,https://img.pokemondb.net/artwork/large/cyndaquil.jpg
0156,Quilava,['Fire'],405,58,64,58,80,65,80,https://img.pokemondb.net/artwork/large/quilava.jpg
0157,Typhlosion,['Fire'],534,78,84,78,109,85,100,https://img.pokemondb.net/artwork/large/typhlosion.jpg
0157,Typhlosion,"['Fire', 'Ghost']",534,73,84,78,119,85,95,https://img.pokemondb.net/artwork/large/typhlosion-hisuian.jpg
0158,Totodile,['Water'],314,50,65,64,44,48,43,https://img.pokemondb.net/artwork/large/totodile.jpg
0159,Croconaw,['Water'],405,65,80,80,59,63,58,https://img.pokemondb.net/artwork/large/croconaw.jpg
0160,Feraligatr,['Water'],530,85,105,100,79,83,78,https://img.pokemondb.net/artwork/large/feraligatr.jpg
0161,Sentret,['Normal'],215,35,46,34,35,45,20,https://img.pokemondb.net/artwork/large/sentret.jpg
0162,Furret,['Normal'],415,85,76,64,45,55,90,https://img.pokemondb.net/artwork/large/furret.jpg
0163,Hoothoot,"['Normal', 'Flying']",262,60,30,30,36,56,50,https://img.pokemondb.net/artwork/large/hoothoot.jpg
0164,Noctowl,"['Normal', 'Flying']",452,100,50,50,86,96,70,https://img.pokemondb.net/artwork/large/noctowl.jpg
0165,Ledyba,"['Bug', 'Flying']",265,40,20,30,40,80,55,https://img.pokemondb.net/artwork/large/ledyba.jpg
0166,Ledian,"['Bug', 'Flying']",390,55,35,50,55,110,85,https://img.pokemondb.net/artwork/large/ledian.jpg
0167,Spinarak,"['Bug', 'Poison']",250,40,60,40,40,40,30,https://img.pokemondb.net/artwork/large/spinarak.jpg
0168,Ariados,"['Bug', 'Poison']",400,70,90,70,60,70,40,https://img.pokemondb.net/artwork/large/ariados.jpg
0169,Crobat,"['Poison', 'Flying']",535,85,90,80,70,80,130,https://img.pokemondb.net/artwork/large/crobat.jpg
0170,Chinchou,"['Water', 'Electric']",330,75,38,38,56,56,67,https://img.pokemondb.net/artwork/large/chinchou.jpg
0171,Lanturn,"['Water', 'Electric']",460,125,58,58,76,76,67,https://img.pokemondb.net/artwork/large/lanturn.jpg
0172,Pichu,['Electric'],205,20,40,15,35,35,60,https://img.pokemondb.net/artwork/large/pichu.jpg
0173,Cleffa,['Fairy'],218,50,25,28,45,55,15,https://img.pokemondb.net/artwork/large/cleffa.jpg
0174,Igglybuff,"['Normal', 'Fairy']",210,90,30,15,40,20,15,https://img.pokemondb.net/artwork/large/igglybuff.jpg
0175,Togepi,['Fairy'],245,35,20,65,40,65,20,https://img.pokemondb.net/artwork/large/togepi.jpg
0176,Togetic,"['Fairy', 'Flying']",405,55,40,85,80,105,40,https://img.pokemondb.net/artwork/large/togetic.jpg
0177,Natu,"['Psychic', 'Flying']",320,40,50,45,70,45,70,https://img.pokemondb.net/artwork/large/natu.jpg
